,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,23591690,Ford,Focus,1.6 TDCi Trend X,2015,150.500 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,"4,5 lt",53 lt,"
5 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",740.000
1,23801334,Ford,Fiesta,1.4 TDCi Titanium X,2011,183.665 km,Düz,Dizel,Hatchback/5,Bordo,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
3 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",449.900
2,23452093,Ford,Fiesta,1.25 Trend X,2016,131.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",620.000
3,23801056,Ford,Focus,1.6 TDCi Trend X,2013,130.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,690.000
4,23800643,Ford,C-Max,1.6 TDCi Titanium,2013,122.000 km,Düz,Dizel,MPV,Gri (metalik),1560 cc,115 hp,Önden Çekiş,"4,6 lt",53 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",760.000
5,23801275,Ford,Fiesta,1.6 Ti-VCT Titanium,2017,63.000 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,Gri,1596 cc,105 hp,Önden Çekiş,"5,9 lt",42 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",835.000
6,23801271,Ford,Focus,1.6 TDCi Trend X,2014,192.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",750.000
7,23801320,Ford,Focus,1.6 TDCi Trend X,2015,285.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,Önden Çekiş,"4,5 lt",53 lt,"
2 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",595.000
8,23801086,Ford,Fiesta,1.0 GTDi Titanium X,2015,57.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Yakıt,Açıklama,"Boya, Değişen ve Tramer","
Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon







",750.000
9,,,,,,,,,,,,,,,,,,,
10,23801054,Ford,Focus,1.6 TDCi Titanium,2011,164.000 km,Düz,Dizel,Hatchback/5,Mavi,1560 cc,110 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,815.000
11,23799782,Ford,Fiesta,1.5 TDCi Trend X,2016,204.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,"3,7 lt",42 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",630.000
12,23801207,Ford,Fiesta,1.4 TDCi Titanium X,2010,173.000 km,Düz,Dizel,Hatchback/5,Gri (titanyum),1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"
5 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",495.000
13,23799281,Ford,Mondeo,1.6 TDCi Titanium,2011,227.400 km,Düz,Dizel,Sedan,Gri (titanyum),1560 cc,115 hp,Önden Çekiş,"4,9 lt",70 lt,"
1 değişen, 2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",650.000
14,23800821,Ford,Focus,1.6 TDCi Collection,2011,115.000 km,Düz,Dizel,Hatchback/5,Füme,1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",720.000
15,,,,,,,,,,,,,,,,,,,
16,23800847,Ford,Fiesta,1.4 TDCi Trend,2011,195.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Sahibinden,Açıklama,490.000
17,23800577,Ford,Fiesta,1.4 Titanium X,2014,68.000 km,Düz,Benzin,Hatchback/5,Kahverengi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,745.000
18,23800100,Ford,Focus,1.6 TDCi Titanium X,2012,149.750 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",730.000
19,23800900,Ford,Focus,1.6 TDCi Titanium,2010,450.000 km,Düz,Dizel,Sedan,Siyah,1560 cc,110 hp,Önden Çekiş,"4,5 lt",55 lt,"
1 değişen, 8 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",429.900
20,23800344,Ford,Focus,1.5 TDCi Trend X,2020,106.000 km,Otomatik,Dizel,Sedan,Mavi,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",965.000
21,23800634,Ford,Fiesta,1.0 GTDi Titanium,2014,86.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,100 hp,Önden Çekiş,"4,9 lt",42 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",665.000
22,23799860,Ford,Focus,1.6 TDCi Style,2013,118.000 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,115 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Sahibinden,Açıklama,805.000
23,23799690,Ford,Focus,1.6 TDCi Collection,2011,173.000 km,Düz,Dizel,Hatchback/5,Gri,1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",680.000
24,23799460,Ford,Fiesta,1.25 Trend,2014,143.000 km,Düz,Benzin,Hatchback/5,Beyaz,1242 cc,82 hp,Önden Çekiş,"5,2 lt",42 lt,"
1 değişen, 5 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",511.000
25,23800320,Ford,Fiesta,1.4 My Fiesta,2012,119.000 km,Otomatik,LPG & Benzin,Hatchback/5,Bordo,1388 cc,96 hp,Önden Çekiş,"6,5 lt",42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,599.000
