,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,23454118,Renault,Megane,1.5 dCi Touch,2018,122.850 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Sahibinden,Açıklama,Donanım,915.000
1,23443294,Renault,Megane,1.5 dCi Icon,2016,158.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,110 hp,Önden Çekiş,"3,7 lt",47 lt,"
3 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",758.000
2,23801494,Renault,Symbol,1.2 Authentique,2012,350.000 km,Düz,Benzin,Sedan,Gri (Gümüş),1149 cc,75 hp,Önden Çekiş,"5,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,320.000
3,23732115,Renault,Megane,1.3 TCe Joy Comfort,2021,18.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,Önden Çekiş,"5,3 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.050.000
4,23732027,Renault,Symbol,1.5 dCi Joy,2016,110.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",625.000
5,23754757,Renault,Clio,1.0 TCe Touch,2022,28.000 km,Yarı Otomatik,Benzin,Hatchback/5,Turuncu,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,875.000
6,23801897,Renault,Clio,1.2 Joy,2013,140.000 km,Düz,Benzin,Hatchback/5,Beyaz,1149 cc,75 hp,Önden Çekiş,"5,5 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,550.000
7,23763445,Renault,Fluence,1.5 dCi Touch Plus,2014,244.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",615.000
8,23801258,Renault,Fluence,1.5 dCi Icon,2015,148.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,"
2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",810.000
9,23801296,Renault,Megane,1.5 dCi Touch,2018,130.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,850.000
