,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,23381847,Skoda,Octavia,1.6 TDI Elegance CR,2013,184.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,855.000
1,23801739,Skoda,SuperB,1.4 TSI Elegance,2012,151.500 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,125 hp,Önden Çekiş,"6,8 lt",60 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",769.000
2,23801671,Skoda,Octavia,1.6 TDI Style CR,2016,117.250 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",980.000
3,23801105,Skoda,Scala,1.6 TDI Premium,2020,61.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.160.000
4,23800183,Skoda,Rapid,1.0 TSI GreenTec Style,2017,53.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,999 cc,95 hp,Önden Çekiş,"4,6 lt",55 lt,"
1 değişen, 1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",815.000
5,23800422,Skoda,Octavia,1.6 TDI Style,2017,127.000 km,Yarı Otomatik,Dizel,Hatchback/5,Bej,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,1.175.000
6,23800376,Skoda,SuperB,1.6 TDI Elegance,2012,415.000 km,Düz,Dizel,Sedan,Siyah,Belirtilmemiş,Sahibinden,Açıklama,Donanım,Yakıt,Açıklama,,,645.000
7,23799087,Skoda,Octavia,1.6 TDI Style CR,2016,105.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.025.000
8,23798859,Skoda,Octavia,1.6 TDI Ambition,2015,167.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"3,8 lt",50 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",865.000
9,23799146,Skoda,Octavia,1.6 TDI Style CR,2017,100.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.110.000
10,23799112,Skoda,Octavia,1.4 TSI Elegance,2013,175.000 km,Düz,Benzin,Hatchback/5,Beyaz,1395 cc,140 hp,Önden Çekiş,"5,3 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,715.000
11,23798412,Skoda,Octavia,1.6 TDI Elegance CR,2013,53.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",920.000
12,23797902,Skoda,Fabia,1.2 TSI Style,2016,92.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",820.000
13,23796875,Skoda,Octavia,1.6 TDI Optimal,2016,145.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,930.000
14,23445732,Skoda,Rapid,1.6 TDI Elegance,2014,235.000 km,Yarı Otomatik,Dizel,-,Sedan,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,-,Sahibinden,695.000
15,23796733,Skoda,Fabia,1.0 TSI Premium,2022,7.350 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,6 lt",40 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",955.000
16,23702131,Skoda,Octavia,1.6 TDI Optimal,2018,121.750 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",940.000
17,23796067,Skoda,Octavia,1.6 TDI Optimal,2015,110.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
1 değişen, 4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",815.000
18,23795948,Skoda,SuperB,1.6 TDI Comfort,2018,158.000 km,Yarı Otomatik,Dizel,Sedan,Gri,101 - 125 HP,Önden Çekiş,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Ekspertiz,1.278.000
19,23238623,Skoda,Octavia,1.6 TDI Style,2019,147.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.190.000
20,23795726,Skoda,SuperB,1.6 TDI Prestige,2019,55.000 km,Yarı Otomatik,Dizel,Station wagon,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"3,9 lt",66 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.565.000
21,23795108,Skoda,Octavia,1.6 TDI Style CR,2016,126.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",974.900
22,23793959,Skoda,Fabia,1.4 Ambiente Dynamic,2011,218.000 km,Düz,Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,"
2 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",445.500
23,23794897,Skoda,Octavia,1.6 TDI Elegance CR,2013,296.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
1 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",695.000
24,23792466,Skoda,Octavia,1.6 TDI Optimal,2018,185.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,812.500
25,23794642,Skoda,SuperB,1.6 TDI Prestige,2016,115.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.240.000
26,23791450,Skoda,SuperB,1.6 TDI Ambition,2014,225.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",700.000
