,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,23801690,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2018,161.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",970.000
1,23215104,Volkswagen,Polo,1.0 TSi Highline,2018,82.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,Önden Çekiş,"4,6 lt",40 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",860.000
2,17609890,Volkswagen,Passat,1.6 TDi Business,2020,76.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,4 lt,59 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.530.000
3,23731922,Volkswagen,VW CC,1.4 TSi,2013,130.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1390 cc,160 hp,Önden Çekiş,"6,1 lt",70 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",915.000
4,23731857,Volkswagen,Polo,1.4 TDi Comfortline,2016,73.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,4 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",770.000
5,23801221,Volkswagen,Passat,2.0 TDi BlueMotion Highline,2016,198.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1968 cc,150 hp,Önden Çekiş,"4,4 lt",66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.195.000
6,23801200,Volkswagen,Jetta,1.4 TSi Comfortline,2014,115.000 km,Düz,Benzin,Sedan,Siyah,1390 cc,122 hp,Önden Çekiş,"6,2 lt",55 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",980.000
7,23799323,Volkswagen,Polo,1.4 Comfortline,2014,93.500 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",665.000
8,23800781,Volkswagen,Polo,1.0 Trendline,2018,202.000 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,75 hp,Önden Çekiş,"4,7 lt",40 lt,"
2 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",640.000
9,23801643,Volkswagen,Jetta,1.4 TSi Comfortline,2010,220.000 km,Düz,Benzin,Sedan,Gri (Gümüş),1390 cc,122 hp,Önden Çekiş,"6,4 lt",55 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",675.000
10,23801586,Volkswagen,Jetta,1.6 TDi Trendline,2015,177.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,910.000
11,23801579,Volkswagen,Polo,1.6 TDi Comfortline,2017,125.000 km,Düz,Dizel,Hatchback/5,Mavi,1598 cc,95 hp,Önden Çekiş,"3,8 lt",40 lt,Belirtilmemiş,Sahibinden,Açıklama,775.000
12,23801518,Volkswagen,Golf,1.0 TSi Comfortline,2018,69.000 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,110 hp,Önden Çekiş,"5,1 lt",50 lt,"
1 değişen, 1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",942.000
13,23801831,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,196.000 km,Düz,Dizel,Sedan,Gri (metalik),1598 cc,105 hp,Önden Çekiş,"4,3 lt",70 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",880.000
