;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
177;23621131;Skoda;Citigo;1.0 Elegance;2013;104.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;"
Tamamı orjinal
";619.900
1026;23576497;Skoda;Citigo;1.0 Elegance;2013;109.000 km;Yarı Otomatik;Benzin;Hatchback/5;Beyaz;999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;"
Tamamı orjinal
";589.000
870;22853465;Skoda;Citigo;1.0 Elegance;2013;116.000 km;Yarı Otomatik;Benzin;Hatchback/5;Kırmızı;999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;3 boyalı;534.500
938;23609735;Skoda;Citigo;1.0 Ambition;2013;127.000 km;Düz;Benzin;Hatchback/5;Gri (metalik);999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;2 boyalı;490.000
849;22652520;Skoda;Citigo;1.0 Ambition;2013;190.000 km;Düz;Benzin;Hatchback/5;Yeşil (metalik);999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;1 boyalı;480.000
441;23682564;Skoda;Citigo;1.0 Elegance;2013;71.000 km;Yarı Otomatik;Benzin;Hatchback/5;Gri (metalik);999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;"
Tamamı orjinal
";560.000
737;23300799;Skoda;Citigo;1.0 Ambition;2012;98.900 km;Düz;Benzin;Hatchback/5;Yeşil (metalik);999 cc;60 hp;Önden Çekiş;4,5 lt;35 lt;3 boyalı;565.000
658;23682502;Skoda;Fabia;1.0 TSI Elite;2023;6.800 km;Düz;Benzin;Hatchback/5;Gri;999 cc;95 hp;Önden Çekiş;5 lt;40 lt;Belirtilmemiş;900.000
389;23736903;Skoda;Fabia;1.5 TSI Monte Carlo;2023;6.100 km;Yarı Otomatik;Benzin;Hatchback/5;Füme;1498 cc;150 hp;Önden Çekiş;4,8 lt;40 lt;Belirtilmemiş;1.279.000
267;23410883;Skoda;Fabia;1.0 TSI Premium;2023;6.001 km;Yarı Otomatik;Benzin;-;Hatchback/5;999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;"
Tamamı orjinal
";1.070.000
44;23709273;Skoda;Fabia;1.0 TSI Premium;2023;7.513 km;Yarı Otomatik;Benzin;Hatchback/5;Yeşil (metalik);999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;"
Tamamı orjinal
";1.030.000
398;23661129;Skoda;Fabia;1.0 TSI Premium;2022;18.500 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;Belirtilmemiş;1.045.000
272;23753758;Skoda;Fabia;1.0 TSI Premium;2022;28.888 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;Belirtilmemiş;1.000.000
480;23649024;Skoda;Fabia;1.0 TSI Premium;2022;6.500 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi (metalik);999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;Belirtilmemiş;960.000
15;23796733;Skoda;Fabia;1.0 TSI Premium;2022;7.350 km;Yarı Otomatik;Benzin;Hatchback/5;Gri;999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;"
Tamamı orjinal
";955.000
818;23204972;Skoda;Fabia;1.0 TSI Premium;2021;21.201 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;110 hp;Önden Çekiş;4,6 lt;40 lt;"
Tamamı orjinal
";920.000
382;23736994;Skoda;Fabia;1.0 GreenTec Premium;2021;39.000 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;95 hp;Önden Çekiş;5 lt;45 lt;"
Tamamı orjinal
";935.000
329;23596475;Skoda;Fabia;1.0 GreenTec Premium;2021;44.200 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;95 hp;Önden Çekiş;5 lt;45 lt;1 değişen, 2 boyalı;869.950
105;22627214;Skoda;Fabia;1.0 GreenTec Premium;2020;36.206 km;Yarı Otomatik;Benzin;Kırmızı;Hatchback/5;999 cc;95 hp;Önden Çekiş;5 lt;45 lt;"
Tamamı orjinal
";880.000
789;23649228;Skoda;Fabia;1.0 GreenTec Premium;2020;39.000 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi;999 cc;95 hp;Önden Çekiş;5 lt;45 lt;"
Tamamı orjinal
";829.000
923;23614866;Skoda;Fabia;1.0 GreenTec Premium;2020;39.000 km;Yarı Otomatik;Benzin;Hatchback/5;Mavi (metalik);999 cc;95 hp;Önden Çekiş;5 lt;45 lt;4 değişen, 1 boyalı;789.000
128;23357482;Skoda;Fabia;1.0 GreenTec Ambition;2017;43.500 km;Düz;Benzin;Hatchback/5;Beyaz;999 cc;95 hp;Önden Çekiş;4,4 lt;45 lt;"
Tamamı orjinal
";680.000
156;23432710;Skoda;Fabia;1.6 TDI Fabia 1.6 TDI Elegance;2013;230.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;640.000
1225;23488991;Skoda;Fabia;1.6 TDI Optimal;2012;115.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;585.000
381;23293747;Skoda;Fabia;1.6 TDI Optimal;2012;131.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;2 değişen;585.000
537;23566527;Skoda;Fabia;1.6 TDI Scout;2012;144.000 km;Düz;Dizel;Station wagon;Siyah;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;"
Tamamı orjinal
";595.000
908;23458109;Skoda;Fabia;1.6 TDI Optimal;2012;149.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;605.000
296;23751946;Skoda;Fabia;1.6 TDI Ambiente;2012;198.100 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;2 değişen, 3 boyalı;440.000
1194;23501033;Skoda;Fabia;1.6 TDI Scout;2012;48.500 km;Düz;Dizel;Station wagon;Gri;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen;780.000
826;23635869;Skoda;Fabia;1.6 TDI Ambiente;2011;153.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;4 boyalı;550.000
1111;23543261;Skoda;Fabia;1.6 TDI Ambiente Dinamik;2011;153.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;550.000
965;23599496;Skoda;Fabia;1.6 TDI Ambiente;2011;185.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;6 boyalı;450.000
1184;23506261;Skoda;Fabia;1.6 TDI Ambiente;2011;210.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;1 boyalı;610.000
848;23627974;Skoda;Fabia;1.2 TSI Style;2017;75.000 km;Düz;Benzin;Hatchback/5;Mavi (metalik);1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;3 boyalı;700.000
192;23763709;Skoda;Fabia;1.2 TSI Style;2016;239.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";622.000
830;23632962;Skoda;Fabia;1.2 TSI Ambition;2016;82.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;6 değişen;600.000
1001;23224166;Skoda;Fabia;1.2 TSI Style;2015;119.000 km;Düz;Benzin;-;Hatchback/5;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";755.000
954;23602456;Skoda;Fabia;1.2 TSI Style;2015;135.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";701.000
841;23631695;Skoda;Fabia;1.4 Ambiente;2012;168.000 km;Düz;Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;Belirtilmemiş;555.000
