,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
0,5,161000.0,1598,115,4.2,50.0,970000,13.785051350479566,False,False,False,False,False,True,1.5,0
1,5,82000.0,999,95,4.6,40.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,0
4,7,73000.0,1422,90,3.4,45.0,770000,13.554145793829866,False,False,False,False,False,True,1.0,1
6,9,115000.0,1390,122,6.2,55.0,980000,13.795307850646754,False,False,False,False,False,True,1.0,1
7,9,93500.0,1390,85,5.9,45.0,665000,13.407542319637992,False,False,False,False,False,True,1.0,1
8,5,202000.0,999,75,4.7,40.0,640000,13.369223455335854,False,False,False,False,False,True,1.0,0
9,13,220000.0,1390,122,6.4,55.0,675000,13.422467969854667,False,False,False,False,False,True,1.0,0
10,8,177000.0,1598,105,4.5,55.0,910000,13.721199878493033,False,False,False,False,False,True,1.0,1
11,6,125000.0,1598,95,3.8,40.0,775000,13.560618308335483,False,False,False,False,False,True,1.0,1
12,5,69000.0,999,110,5.1,50.0,942000,13.7557605535585,False,False,False,False,False,True,1.0,0
15,10,139000.0,1598,105,4.7,55.0,900000,13.710150042306449,False,False,False,False,False,True,1.5,1
16,10,186500.0,1598,105,3.9,50.0,809000,13.603554196040628,False,False,False,False,False,True,1.5,0
17,11,124000.0,1390,85,5.9,45.0,670000,13.415032991367148,False,False,False,False,False,True,1.0,1
18,10,137000.0,1598,90,4.3,45.0,725000,13.493926933836812,False,False,False,False,False,True,1.5,0
19,8,156000.0,1422,90,3.5,45.0,619500,13.336667980051335,False,False,False,False,False,True,1.5,0
20,9,245000.0,1598,90,3.8,50.0,680000,13.42984807715229,False,False,False,False,False,True,1.0,0
21,10,242150.0,1598,105,4.7,55.0,800000,13.592367006650065,False,False,False,False,False,True,1.5,1
22,6,155000.0,1598,115,4.2,50.0,989000,13.804449610604848,False,False,False,False,False,True,1.5,1
24,8,185000.0,1598,110,3.9,50.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,1
25,8,128000.0,1422,90,3.5,45.0,699000,13.457406021215947,False,False,False,False,False,True,1.5,0
26,11,92000.0,1598,90,4.3,45.0,658000,13.396960210307455,False,False,False,False,False,True,1.5,1
28,7,85000.0,1395,150,5.1,66.0,1456000,14.191203507738768,False,False,False,False,False,True,1.5,0
