,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu,Depo_Hacmi_Kullanabilirliği,Ters_Motor_Gücü,Yakıt_Ekonomisi,Engine_Ratio
0,5,161000.0,1598,115,4.2,50.0,970000,13.785051350479566,False,False,False,False,False,True,1.5,0,11.904761904761905,0.008695652173913044,0.036521739130434785,13.895652173913044
1,5,82000.0,999,95,4.6,40.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,0,8.695652173913045,0.010526315789473684,0.04842105263157894,10.51578947368421
4,7,73000.0,1422,90,3.4,45.0,770000,13.554145793829866,False,False,False,False,False,True,1.0,1,13.23529411764706,0.011111111111111112,0.03777777777777778,15.8
6,9,115000.0,1390,122,6.2,55.0,980000,13.795307850646754,False,False,False,False,False,True,1.0,1,8.870967741935484,0.00819672131147541,0.05081967213114755,11.39344262295082
7,9,93500.0,1390,85,5.9,45.0,665000,13.407542319637992,False,False,False,False,False,True,1.0,1,7.627118644067796,0.011764705882352941,0.06941176470588235,16.352941176470587
8,5,202000.0,999,75,4.7,40.0,640000,13.369223455335854,False,False,False,False,False,True,1.0,0,8.51063829787234,0.013333333333333334,0.06266666666666668,13.32
9,13,220000.0,1390,122,6.4,55.0,675000,13.422467969854667,False,False,False,False,False,True,1.0,0,8.59375,0.00819672131147541,0.05245901639344263,11.39344262295082
10,8,177000.0,1598,105,4.5,55.0,910000,13.721199878493033,False,False,False,False,False,True,1.0,1,12.222222222222221,0.009523809523809525,0.04285714285714286,15.219047619047618
11,6,125000.0,1598,95,3.8,40.0,775000,13.560618308335483,False,False,False,False,False,True,1.0,1,10.526315789473685,0.010526315789473684,0.039999999999999994,16.821052631578947
12,5,69000.0,999,110,5.1,50.0,942000,13.7557605535585,False,False,False,False,False,True,1.0,0,9.803921568627452,0.00909090909090909,0.04636363636363636,9.081818181818182
15,10,139000.0,1598,105,4.7,55.0,900000,13.710150042306449,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
16,10,186500.0,1598,105,3.9,50.0,809000,13.603554196040628,False,False,False,False,False,True,1.5,0,12.820512820512821,0.009523809523809525,0.037142857142857144,15.219047619047618
17,11,124000.0,1390,85,5.9,45.0,670000,13.415032991367148,False,False,False,False,False,True,1.0,1,7.627118644067796,0.011764705882352941,0.06941176470588235,16.352941176470587
18,10,137000.0,1598,90,4.3,45.0,725000,13.493926933836812,False,False,False,False,False,True,1.5,0,10.465116279069768,0.011111111111111112,0.04777777777777778,17.755555555555556
19,8,156000.0,1422,90,3.5,45.0,619500,13.336667980051335,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
20,9,245000.0,1598,90,3.8,50.0,680000,13.42984807715229,False,False,False,False,False,True,1.0,0,13.157894736842106,0.011111111111111112,0.042222222222222223,17.755555555555556
21,10,242150.0,1598,105,4.7,55.0,800000,13.592367006650065,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
22,6,155000.0,1598,115,4.2,50.0,989000,13.804449610604848,False,False,False,False,False,True,1.5,1,11.904761904761905,0.008695652173913044,0.036521739130434785,13.895652173913044
24,8,185000.0,1598,110,3.9,50.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,1,12.820512820512821,0.00909090909090909,0.035454545454545454,14.527272727272727
25,8,128000.0,1422,90,3.5,45.0,699000,13.457406021215947,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
26,11,92000.0,1598,90,4.3,45.0,658000,13.396960210307455,False,False,False,False,False,True,1.5,1,10.465116279069768,0.011111111111111112,0.04777777777777778,17.755555555555556
28,7,85000.0,1395,150,5.1,66.0,1456000,14.191203507738768,False,False,False,False,False,True,1.5,0,12.941176470588236,0.006666666666666667,0.034,9.3
29,6,103000.0,1395,150,5.0,55.0,985000,13.800396920154226,False,False,False,False,False,True,1.5,1,11.0,0.006666666666666667,0.03333333333333333,9.3
30,9,55240.0,1390,122,6.0,55.0,825000,13.623138665316818,False,False,False,False,False,True,1.5,1,9.166666666666666,0.00819672131147541,0.04918032786885246,11.39344262295082
31,7,180000.0,1598,120,4.0,66.0,1030000,13.845069360205818,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
32,6,74000.0,1197,90,4.7,45.0,860000,13.664687668229691,False,False,False,False,False,True,1.5,0,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
33,7,265000.0,1422,90,3.5,45.0,650000,13.38472764187182,False,False,False,False,False,True,1.5,0,12.857142857142858,0.011111111111111112,0.03888888888888889,15.8
34,3,119000.0,1598,120,4.0,59.0,1399000,14.151268253647618,False,False,False,False,False,True,1.5,0,14.75,0.008333333333333333,0.03333333333333333,13.316666666666666
35,12,276000.0,1598,105,4.7,55.0,616600,13.331975794434188,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
36,8,192000.0,1598,105,4.7,55.0,909750,13.720925115474406,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
37,9,105000.0,1598,105,4.2,45.0,690000,13.444446876573442,False,False,False,False,False,True,1.0,1,10.714285714285714,0.009523809523809525,0.04000000000000001,15.219047619047618
38,8,88246.0,1422,90,3.4,45.0,650000,13.38472764187182,False,False,False,False,False,True,1.0,1,13.23529411764706,0.011111111111111112,0.03777777777777778,15.8
39,6,64000.0,999,95,4.6,40.0,867500,13.673370790803151,False,False,False,False,False,True,1.5,1,8.695652173913045,0.010526315789473684,0.04842105263157894,10.51578947368421
40,11,123000.0,1390,85,5.8,45.0,595000,13.296316684527767,False,False,False,False,False,True,1.5,1,7.758620689655173,0.011764705882352941,0.06823529411764706,16.352941176470587
41,11,84000.0,1390,85,5.9,45.0,620000,13.337474757021274,False,False,False,False,False,True,1.0,1,7.627118644067796,0.011764705882352941,0.06941176470588235,16.352941176470587
43,8,143000.0,1390,122,6.2,55.0,765000,13.547631112808673,False,False,False,False,False,True,1.0,1,8.870967741935484,0.00819672131147541,0.05081967213114755,11.39344262295082
44,4,98000.0,1598,120,4.0,59.0,1389950,14.144778333236873,False,False,False,False,False,True,1.5,1,14.75,0.008333333333333333,0.03333333333333333,13.316666666666666
45,8,140000.0,1395,150,5.1,66.0,1200000,13.997832114758229,False,False,False,False,False,True,1.5,0,12.941176470588236,0.006666666666666667,0.034,9.3
46,5,205000.0,1598,95,3.9,40.0,765000,13.547631112808673,False,False,False,False,False,True,1.5,1,10.256410256410257,0.010526315789473684,0.04105263157894737,16.821052631578947
47,8,157000.0,1598,105,3.9,50.0,945000,13.758940206475879,False,False,False,False,False,True,1.5,0,12.820512820512821,0.009523809523809525,0.037142857142857144,15.219047619047618
48,6,84500.0,1598,115,4.2,50.0,990000,13.805460222110773,False,False,False,False,False,True,1.5,1,11.904761904761905,0.008695652173913044,0.036521739130434785,13.895652173913044
49,8,70000.0,1598,110,3.9,50.0,960000,13.77468856344402,False,False,False,False,False,True,1.5,1,12.820512820512821,0.00909090909090909,0.035454545454545454,14.527272727272727
50,11,72000.0,1595,102,7.1,55.0,735000,13.507625778194974,False,False,False,False,False,True,1.0,1,7.746478873239437,0.00980392156862745,0.06960784313725489,15.637254901960784
51,10,176000.0,1598,105,4.5,55.0,750000,13.527828485512494,False,False,False,False,False,True,1.0,1,12.222222222222221,0.009523809523809525,0.04285714285714286,15.219047619047618
