,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,22923689,Fiat,Egea,1.4 Fire Urban,2021,44.000 km,Düz,Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,"
3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",682.000
1,23698502,Fiat,Albea,Sole 1.3 Multijet Active,2010,160.000 km,Düz,Dizel,Sedan,Gri (metalik),1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",268.000
2,23801408,Fiat,Linea,1.3 Multijet Pop,2015,117.000 km,Düz,Dizel,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Belirtilmemiş,Takasa Uygun Değil,Galeriden,Açıklama,Donanım,Yakıt,396.500
3,23801332,Fiat,Punto,1.3 Multijet Urban,2014,91.953 km,Düz,Dizel,Hatchback/5,Beyaz,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,"
2 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",449.900
4,21134007,Fiat,Punto,1.4 Popstar S&S,2016,99.100 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1368 cc,77 hp,Önden Çekiş,"5,7 lt",45 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",585.000
5,23441946,Fiat,Egea,1.4 Fire Easy,2020,65.900 km,Düz,LPG & Benzin,Sedan,Gri (metalik),1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",599.000
6,23801972,Fiat,Egea,1.6 Multijet Comfort,2016,237.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"3,9 lt",45 lt,"
5 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",625.000
7,23722530,Fiat,Linea,1.3 Multijet Active Plus,2014,138.000 km,Düz,Dizel,Sedan,Gri,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",520.000
8,23669053,Fiat,Egea,1.3 Multijet Easy,2020,56.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,675.000
9,22864114,Fiat,Egea,1.3 Multijet Easy,2017,122.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",560.000
10,23800742,Fiat,Albea,Sole 1.3 Multijet Dynamic,2010,193.000 km,Düz,Dizel,Sedan,Gri (metalik),1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,"
2 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",378.000
11,23801810,Fiat,Egea,1.4 Fire Easy,2023,2.000 km,Düz,Benzin,Sedan,Füme,1368 cc,95 hp,Önden Çekiş,"6,4 lt",45 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",675.000
12,23801638,Fiat,Egea,1.3 Multijet Easy,2022,6.500 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,"4,1 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,800.000
13,,,,,,,,,,,,,,,,,,,
14,23801441,Fiat,Linea,1.3 Multijet Active Plus,2012,124.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1248 cc,90 hp,Önden Çekiş,"4,9 lt",45 lt,"
2 değişen, 4 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",485.000
15,23801422,Fiat,500 Ailesi,500L 1.3 Mjet Pop,2018,107 km,Düz,Dizel,MPV,Beyaz,1248 cc,85 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,495.000
