,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Fiyat
0,23796776,Fiat,Egea,1.6 Multijet Easy,2023,11000,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598,130,Önden Çekiş,4.4,50,"
Tamamı orjinal
",995000
1,23694516,Fiat,Egea,1.6 Multijet Lounge,2021,31000,Düz,Dizel,Sedan,Beyaz,1598,130,Önden Çekiş,4.3,50,Belirtilmemiş,981000
2,23758119,Fiat,Egea,1.6 Multijet Easy,2023,8000,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,130,Önden Çekiş,4.4,50,Belirtilmemiş,975000
3,23762216,Fiat,Egea,1.6 Multijet Street,2020,20000,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,120,Önden Çekiş,3.8,50,"
1 değişen, 2 boyalı
",960000
4,23743183,Fiat,Egea,1.3 Multijet Easy,2023,6000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,Belirtilmemiş,950000
5,23747957,Fiat,Egea,1.6 Multijet Easy,2022,6000,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,120,Önden Çekiş,3.9,45,"
Tamamı orjinal
",950000
6,23641154,Fiat,Egea,1.3 Multijet Urban,2023,27000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,"
Tamamı orjinal
",949000
7,23676473,Fiat,Egea,1.3 Multijet Easy Plus,2023,6000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,45,Belirtilmemiş,945000
8,23791442,Fiat,Egea,1.3 Multijet Easy,2023,6000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,Belirtilmemiş,942000
9,23599674,Fiat,Egea,1.3 Multijet Easy Plus,2023,6000,Düz,Dizel,Sedan,Gri,1248,95,Önden Çekiş,4.1,50,"
Tamamı orjinal
",940000
10,23766188,Fiat,Egea,1.6 Multijet Urban Plus,2020,19000,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,120,Önden Çekiş,3.9,45,"
Tamamı orjinal
",938000
11,23561305,Fiat,Egea,1.6 Multijet Urban Plus,2020,40000,Yarı Otomatik,Dizel,Sedan,Gri,1598,120,Önden Çekiş,3.9,45,Belirtilmemiş,930000
12,23342354,Fiat,Egea,1.3 Multijet Easy Plus,2023,7000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,"
Tamamı orjinal
",925000
13,23750636,Fiat,Egea,1.3 Multijet Lounge,2021,38000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,"
Tamamı orjinal
",920000
14,23720786,Fiat,Egea,1.3 Multijet Easy Plus,2023,7000,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,50,"
Tamamı orjinal
",920000
