,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Fiyat
0,23661840,Ford,Focus,1.5 TDCi Titanium,2020,107000,Otomatik,Dizel,Sedan,Beyaz,1500,120,Önden Çekiş,4.3,47,"
1 değişen, 5 boyalı
",999000
1,23042502,Ford,Focus,1.5 TDCi Trend X,2019,144000,Düz,Dizel,Hatchback/5,Beyaz,1500,120,Önden Çekiş,3.4,47,Belirtilmemiş,999000
2,23258667,Ford,Focus,1.6 Ti-VCT Titanium,2017,64000,Düz,LPG & Benzin,Sedan,Beyaz,1596,125,Önden Çekiş,6.0,55,"
Tamamı orjinal
",998000
3,23648099,Ford,Focus,1.5 TDCi Trend X,2019,147000,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1499,120,Önden Çekiş,4.2,55,"
Tamamı orjinal
",995000
4,23665787,Ford,Focus,1.6 TDCi Titanium,2017,88000,Düz,Dizel,Sedan,Beyaz,1560,115,Önden Çekiş,4.2,55,"
Tamamı orjinal
",990000
5,23777208,Ford,Focus,1.6 TDCi Titanium,2017,46000,Düz,Dizel,Hatchback/5,Beyaz,1560,115,Önden Çekiş,4.2,55,Belirtilmemiş,990000
6,23782431,Ford,Focus,1.6 TDCi Style,2014,57000,Düz,Dizel,Sedan,Beyaz,1560,115,Önden Çekiş,4.2,53,Belirtilmemiş,989000
7,23623844,Ford,Focus,1.5 TDCi Trend X,2019,80000,Otomatik,Dizel,Sedan,Beyaz,1500,120,Önden Çekiş,4.3,47,"
Tamamı orjinal
",985000
8,23699354,Ford,Focus,1.5 TDCi Trend X,2017,139000,Yarı Otomatik,Dizel,Sedan,Beyaz,1499,120,Önden Çekiş,4.2,55,"
2 değişen, 2 boyalı
",985000
9,23005148,Ford,Focus,1.6 TDCi Titanium,2016,103000,Düz,Dizel,Sedan,Beyaz,1560,115,Önden Çekiş,4.2,55,"
2 boyalı
",985000
10,23609998,Ford,Focus,1.5 TDCi Trend X,2019,143000,Otomatik,Dizel,Hatchback/5,Beyaz,1500,120,Önden Çekiş,4.3,47,Belirtilmemiş,985000
11,23595566,Ford,Focus,1.5 TDCi Titanium,2016,162000,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1499,120,Önden Çekiş,4.2,55,Belirtilmemiş,985000
