,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,22655656,Opel,Insignia,1.6 CDTI Grand Sport Design,2017,204.231 km,Otomatik,Dizel,Hatchback/5,Gri,1598 cc,136 hp,Önden Çekiş,"5,1 lt",62 lt,"
2 değişen, 2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",985.000
1,23732080,Opel,Astra,1.4 T Edition Plus,2020,43.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),1364 cc,140 hp,Önden Çekiş,"6,7 lt",56 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",910.000
2,23801052,Opel,Corsa,1.3 CDTI Enjoy,2012,275.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,95 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,510.000
3,23801955,Opel,Astra,1.6 CDTI Sport,2014,164.500 km,Düz,Dizel,Sedan,Füme,1598 cc,136 hp,Önden Çekiş,"4,2 lt",56 lt,"
1 değişen, 6 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",530.500
4,23801887,Opel,Astra,1.6 Essentia,2012,113.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,"6,5 lt",52 lt,Belirtilmemiş,Sahibinden,Açıklama,620.000
5,23799150,Opel,Insignia,1.6 T Edition Elegance,2012,147.000 km,Düz,Benzin,Sedan,Füme,1598 cc,180 hp,Önden Çekiş,"7,7 lt",70 lt,"
2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",650.000
6,23801574,Opel,Astra,1.3 CDTI Cosmo,2012,161.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,95 hp,Önden Çekiş,"4,2 lt",56 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,725.000
7,23801599,Opel,Astra,1.6 Edition,2013,163.000 km,Düz,LPG & Benzin,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,"6,6 lt",56 lt,Belirtilmemiş,Sahibinden,Açıklama,625.000
8,23801791,Opel,Astra,1.6 Edition,2017,70.000 km,Düz,Benzin,Sedan,Beyaz,1598 cc,115 hp,Önden Çekiş,"6,5 lt",56 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",737.500
9,23801516,Opel,Insignia,1.6 T Cosmo,2011,195.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,180 hp,Önden Çekiş,"7,7 lt",70 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",820.000
10,23801482,Opel,Astra,1.3 CDTI Cosmo,2012,161.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,95 hp,Önden Çekiş,"4,2 lt",56 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,725.000
11,23801109,Opel,Astra,1.4 T Sport,2013,115.000 km,Otomatik,Benzin,Sedan,Beyaz,1364 cc,140 hp,Önden Çekiş,"6,7 lt",56 lt,"
1 değişen, 1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",749.000
12,23801361,Opel,Corsa,1.3 CDTI Enjoy 111,2012,195.000 km,Düz,Dizel,Hatchback/5,Kahverengi,1248 cc,75 hp,Önden Çekiş,"4,3 lt",45 lt,"
3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",490.000
13,23801006,Opel,Astra,1.6 Essentia,2013,137.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,115 hp,Önden Çekiş,"6,5 lt",52 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",580.000
14,23801120,Opel,Astra,1.6 CDTI Enjoy,2014,143.000 km,Düz,Dizel,Hatchback/5,Siyah,"
3 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Yakıt,Açıklama,,625.000
