Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat
5,161000.0,1598,115,4.2,50.0,970000,13.785051350479566
5,82000.0,999,95,4.6,40.0,860000,13.664687668229691
7,73000.0,1422,90,3.4,45.0,770000,13.554145793829866
9,115000.0,1390,122,6.2,55.0,980000,13.795307850646754
9,93500.0,1390,85,5.9,45.0,665000,13.407542319637992
5,202000.0,999,75,4.7,40.0,640000,13.369223455335854
13,220000.0,1390,122,6.4,55.0,675000,13.422467969854667
8,177000.0,1598,105,4.5,55.0,910000,13.721199878493033
6,125000.0,1598,95,3.8,40.0,775000,13.560618308335483
5,69000.0,999,110,5.1,50.0,942000,13.7557605535585
10,139000.0,1598,105,4.7,55.0,900000,13.710150042306449
10,186500.0,1598,105,3.9,50.0,809000,13.603554196040628
11,124000.0,1390,85,5.9,45.0,670000,13.415032991367148
10,137000.0,1598,90,4.3,45.0,725000,13.493926933836812
8,156000.0,1422,90,3.5,45.0,619500,13.336667980051335
9,245000.0,1598,90,3.8,50.0,680000,13.42984807715229
10,242150.0,1598,105,4.7,55.0,800000,13.592367006650065
6,155000.0,1598,115,4.2,50.0,989000,13.804449610604848
8,185000.0,1598,110,3.9,50.0,860000,13.664687668229691
8,128000.0,1422,90,3.5,45.0,699000,13.457406021215947
11,92000.0,1598,90,4.3,45.0,658000,13.396960210307455
7,85000.0,1395,150,5.1,66.0,1456000,14.191203507738768
6,103000.0,1395,150,5.0,55.0,985000,13.800396920154226
9,55240.0,1390,122,6.0,55.0,825000,13.623138665316818
7,180000.0,1598,120,4.0,66.0,1030000,13.845069360205818
6,74000.0,1197,90,4.7,45.0,860000,13.664687668229691
7,265000.0,1422,90,3.5,45.0,650000,13.38472764187182
3,119000.0,1598,120,4.0,59.0,1399000,14.151268253647618
12,276000.0,1598,105,4.7,55.0,616600,13.331975794434188
8,192000.0,1598,105,4.7,55.0,909750,13.720925115474406
9,105000.0,1598,105,4.2,45.0,690000,13.444446876573442
8,88246.0,1422,90,3.4,45.0,650000,13.38472764187182
6,64000.0,999,95,4.6,40.0,867500,13.673370790803151
11,123000.0,1390,85,5.8,45.0,595000,13.296316684527767
11,84000.0,1390,85,5.9,45.0,620000,13.337474757021274
8,143000.0,1390,122,6.2,55.0,765000,13.547631112808673
4,98000.0,1598,120,4.0,59.0,1389950,14.144778333236873
