,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat
0,5,161000.0,1598,115,4.2,50.0,970000
1,5,82000.0,999,95,4.6,40.0,860000
2,3,76000.0,1598,120,4.0,59.0,1530000
3,10,130000.0,1390,160,6.1,70.0,915000
4,7,73000.0,1422,90,3.4,45.0,770000
5,7,198000.0,1968,150,4.4,66.0,1195000
6,9,115000.0,1390,122,6.2,55.0,980000
7,9,93500.0,1390,85,5.9,45.0,665000
8,5,202000.0,999,75,4.7,40.0,640000
9,13,220000.0,1390,122,6.4,55.0,675000
10,8,177000.0,1598,105,4.5,55.0,910000
11,6,125000.0,1598,95,3.8,40.0,775000
12,5,69000.0,999,110,5.1,50.0,942000
13,9,196000.0,1598,105,4.3,70.0,880000
14,12,216000.0,1390,122,6.4,70.0,750000
15,10,139000.0,1598,105,4.7,55.0,900000
16,10,186500.0,1598,105,3.9,50.0,809000
17,11,124000.0,1390,85,5.9,45.0,670000
18,10,137000.0,1598,90,4.3,45.0,725000
19,8,156000.0,1422,90,3.5,45.0,619500
20,9,245000.0,1598,90,3.8,50.0,680000
21,10,242150.0,1598,105,4.7,55.0,800000
22,6,155000.0,1598,115,4.2,50.0,989000
23,11,159000.0,1390,122,6.1,70.0,895000
24,8,185000.0,1598,110,3.9,50.0,860000
25,8,128000.0,1422,90,3.5,45.0,699000
26,11,92000.0,1598,90,4.3,45.0,658000
27,7,76000.0,1598,120,4.0,66.0,1500000
28,7,85000.0,1395,150,5.1,66.0,1456000
29,6,103000.0,1395,150,5.0,55.0,985000
30,9,55240.0,1390,122,6.0,55.0,825000
31,7,180000.0,1598,120,4.0,66.0,1030000
32,6,74000.0,1197,90,4.7,45.0,860000
33,7,265000.0,1422,90,3.5,45.0,650000
34,3,119000.0,1598,120,4.0,59.0,1399000
35,12,276000.0,1598,105,4.7,55.0,616600
36,8,192000.0,1598,105,4.7,55.0,909750
37,9,105000.0,1598,105,4.2,45.0,690000
38,8,88246.0,1422,90,3.4,45.0,650000
39,6,64000.0,999,95,4.6,40.0,867500
40,11,123000.0,1390,85,5.8,45.0,595000
41,11,84000.0,1390,85,5.9,45.0,620000
42,12,338000.0,1390,122,6.1,70.0,715000
43,8,143000.0,1390,122,6.2,55.0,765000
44,4,98000.0,1598,120,4.0,59.0,1389950
45,8,140000.0,1395,150,5.1,66.0,1200000
46,5,205000.0,1598,95,3.9,40.0,765000
47,8,157000.0,1598,105,3.9,50.0,945000
48,6,84500.0,1598,115,4.2,50.0,990000
49,8,70000.0,1598,110,3.9,50.0,960000
50,11,72000.0,1595,102,7.1,55.0,735000
51,10,176000.0,1598,105,4.5,55.0,750000
52,7,215000.0,1390,122,6.0,55.0,735000
53,8,63000.0,1395,150,5.0,66.0,892000
54,4,117250.0,1598,120,4.0,66.0,1408000
55,5,100850.0,1395,125,5.1,66.0,1143000
56,3,27500.0,999,95,4.6,40.0,1005000
57,10,225000.0,1598,105,4.7,70.0,795000
58,5,62000.0,999,95,4.6,40.0,895000
59,7,85000.0,1598,110,3.9,50.0,1000000
60,5,53500.0,1498,150,6.0,66.0,1830000
61,9,160000.0,1598,105,4.7,70.0,990000
62,10,214000.0,1598,105,4.7,55.0,670000
63,9,297000.0,1598,120,4.0,66.0,980000
64,13,179000.0,1595,102,8.0,70.0,760000
65,10,260000.0,1390,160,6.9,70.0,725750
66,7,243000.0,1598,120,4.0,66.0,1125000
67,11,239000.0,1598,105,4.5,55.0,625000
68,8,130000.0,1598,120,4.0,66.0,1050000
69,8,206000.0,1598,105,4.7,55.0,838000
70,12,137000.0,1390,180,5.8,45.0,819500
71,9,132000.0,1390,122,6.0,70.0,949500
72,10,109000.0,1390,160,6.3,55.0,798000
73,11,147000.0,1390,122,6.2,55.0,690000
74,4,89000.0,1598,115,4.2,50.0,1100000
75,11,250000.0,1598,105,3.9,50.0,739000
76,5,67000.0,999,95,4.4,40.0,815000
77,12,188000.0,1390,85,5.9,45.0,520000
78,6,96000.0,1395,125,5.3,66.0,935000
79,4,155000.0,1598,120,4.4,66.0,1318000
80,12,190000.0,1390,85,5.9,45.0,555000
81,12,119836.0,1390,180,5.8,45.0,1115000
82,4,45000.0,1598,115,4.2,50.0,1275000
83,9,203000.0,1968,140,5.2,70.0,999000
84,10,174000.0,1390,122,6.0,55.0,749000
85,11,259000.0,1598,105,4.7,55.0,699999
86,11,232000.0,1390,122,6.2,55.0,712500
87,12,188000.0,1197,105,5.7,55.0,605000
88,3,25800.0,999,95,4.4,40.0,820000
89,7,133000.0,1598,120,4.0,66.0,1095000
90,10,160000.0,1598,105,4.5,55.0,840000
91,9,107000.0,1598,105,4.7,70.0,1025000
92,13,205000.0,1798,160,8.2,70.0,650000
93,11,283000.0,1598,105,4.5,55.0,450000
94,6,139000.0,1395,125,5.0,55.0,955000
95,5,130000.0,1598,120,4.0,66.0,1375000
96,8,151000.0,999,75,5.1,45.0,560000
97,5,226000.0,1598,120,4.0,66.0,1600000
98,6,203000.0,1598,120,4.0,66.0,1250000
99,12,209000.0,1598,105,4.3,70.0,660000
100,7,82500.0,1197,110,4.9,50.0,815000
101,7,141000.0,1598,120,4.0,66.0,860000
102,7,187000.0,1598,110,3.9,50.0,880000
103,9,143000.0,1197,105,4.8,50.0,875000
104,6,21000.0,1598,120,4.0,66.0,1355000
105,8,114672.0,999,75,5.1,45.0,600000
106,6,138000.0,1422,90,3.5,45.0,765000
107,6,113000.0,1598,120,4.0,66.0,1175000
108,10,133000.0,1199,75,3.8,45.0,590000
109,11,110000.0,1198,70,5.5,45.0,575000
110,1,7500.0,999,110,4.4,50.0,1050000
111,11,235000.0,1199,75,3.8,45.0,500000
112,12,193000.0,1598,105,4.5,55.0,610000
113,6,183000.0,1422,90,3.5,45.0,685000
114,7,100000.0,999,75,5.1,45.0,620000
115,4,112000.0,1598,115,4.2,50.0,1030000
116,10,255000.0,1197,105,5.4,55.0,565000
117,9,177000.0,1598,105,4.7,55.0,660000
118,9,245000.0,1598,105,3.8,50.0,750000
119,8,83000.0,1395,125,5.0,50.0,1075000
120,7,141000.0,1395,125,5.3,66.0,1115000
121,10,121000.0,1197,105,5.7,55.0,840000
122,8,107000.0,1422,90,3.4,45.0,720000
123,10,139000.0,1598,90,4.2,45.0,640000
124,6,57000.0,1598,120,4.0,66.0,1520000
125,8,99000.0,1598,120,4.0,66.0,1240000
126,8,123000.0,1197,105,5.4,55.0,865000
127,13,205540.0,1598,105,4.7,55.0,680000
128,11,120000.0,1199,75,3.8,45.0,590000
129,6,71500.0,999,110,5.1,50.0,855000
130,12,199000.0,1598,90,4.2,45.0,515000
131,13,150000.0,1390,122,6.4,55.0,645000
132,10,104800.0,1390,85,5.9,45.0,655000
133,9,300000.0,1598,90,3.8,50.0,670000
134,6,92000.0,1197,105,4.9,55.0,900000
135,3,36000.0,1498,150,5.3,66.0,1725000
136,7,101555.0,1422,90,3.5,45.0,720000
137,3,40000.0,999,95,4.6,40.0,845000
138,12,200000.0,1595,102,8.2,55.0,750000
139,6,124000.0,1598,120,4.0,59.0,1300000
140,12,197000.0,1390,122,6.0,70.0,870000
141,7,227000.0,1598,110,3.9,50.0,783000
142,11,215000.0,1598,105,4.3,70.0,910000
143,8,190000.0,1598,105,4.5,55.0,625000
144,6,45000.0,999,75,5.1,45.0,609900
145,6,182000.0,999,95,4.6,40.0,749000
