,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
0,23801316,Toyota,Yaris,1.0 Life,2013,24.800 km,Düz,Benzin,Hatchback/5,Beyaz,998 cc,69 hp,Önden Çekiş,"4,8 lt",42 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",459.000
1,23447333,Toyota,Yaris,1.0 Vision,2021,28.700 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),998 cc,72 hp,Önden Çekiş,"4,5 lt",42 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",705.000
2,23801101,Toyota,Corolla,1.33 Life,2016,192.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1329 cc,99 hp,Önden Çekiş,"5,8 lt",55 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",720.000
3,23801573,Toyota,Corolla,1.4 D-4D Advance,2016,58.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,"
2 değişen, 3 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",880.000
4,23801731,Toyota,Corolla,1.4 D-4D Touch,2017,166.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,783.500
5,23801705,Toyota,Verso,1.6 Comfort Extra,2011,242.000 km,Düz,LPG & Benzin,MPV,Beyaz,1600 cc,132 hp,Belirtilmemiş,Sahibinden,Açıklama,Kredi,"

Açıklama
Arabam hatasız trimersiz bebek gibi temiz ve titiz kullanılmıştır ihtiyaç tan satılık yok ksa satmam Exper raporu mevcut 6 ileri tek lokal baya arka sağ çamurluk 


Boya, Değişen ve Tramer



Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş








                                Orjinal
                            

-





                                Lokal boyalı
                            

-





                                Boyalı
                            

-





                                Değişmiş
                            

-





                                Belirtilmemiş
                            

Sağ Arka Çamurluk
Arka Kaput
Sol Arka Çamurluk
Sağ Arka Kapı
Sağ Ön Kapı
Tavan
Sol Arka Kapı
Sol Ön Kapı
Sağ Ön Çamurluk
Motor Kaputu
Sol Ön Çamurluk
Ön Tampon
Arka Tampon





                                    Tramer tutarı Belirtilmemiş
                                





Araç bilgileri


Genel Bakış


Yıl
2011


Kilometre
242.000 km


Vites Tipi
Düz


Yakıt Tipi
LPG & Benzin


Kasa Tipi
MPV


Renk
Beyaz


Araç Türü
Bireysel


Plaka Uyruğu
(TR) Türkiye


Aracın ilk sahibiyim
İlk Sahibi Değilim


Kimden
Sahibinden


Yıllık MTV
1.135 TL




Motor ve Performans


Motor Hacmi
1600 cc


Motor Gücü
132 hp




Boyut ve Kapasite


Koltuk Sayısı
5






Kredi







                Akbank taşıt kredisi ile hayalindeki araca kavuş
            


            Hemen Başvur
        




Ekspertiz

Paketleri incele




Yakıt önerisi






Sahibinden Toyota Verso 1.6 Comfort Extra 2011 Model Muğla 242.000 km Beyaz

",Arabam hatasız trimersiz bebek gibi temiz ve titiz kullanılmıştır ihtiyaç tan satılık yok ksa satmam Exper raporu mevcut 6 ileri tek lokal baya arka sağ çamurluk ,715.000
6,23801405,Toyota,Auris,1.4 D-4D Comfort Plus,2011,215.000 km,Düz,Dizel,Hatchback/5,Beyaz,1364 cc,90 hp,Önden Çekiş,5 lt,55 lt,Belirtilmemiş,Sahibinden,Açıklama,630.000
7,23800566,Toyota,Corolla,1.6 Elegant,2011,166.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,7 lt,55 lt,"
3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",675.000
8,23800793,Toyota,Corolla,1.4 D-4D Comfort,2012,190.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,"
2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",595.000
9,23800456,Toyota,Corolla,1.6 Vision,2019,81.400 km,Yarı Otomatik,LPG & Benzin,Sedan,Gri (metalik),1598 cc,132 hp,Önden Çekiş,"5,5 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",855.000
